Name,Description,Price,Image URL,Product URL
"Bredhult soffa 3-sits
Bern 0341 beige-vitoljad ek",Bredhult från 1898 är en soffa med nätta propotioner och finns i flera utföranden och storlekar. Soffan är uppbyggd på trästomme och sits med nozagfjädring. Sittplymåerna har en kallskumskärna och en topp av fjäder och bollfiber. Ryggplymåerna har en poloyeterkärna med topp av fjäder och bollfiber.,31 490 kr,https://www.nordicnest.se/assets/blobs/1898-bredhult-soffa-3-sits-bern-0341-beige-vitoljad-ek/Bredhult_3sits_Bern-beige-tr%C3%A4ben-8acb99b1b7.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/1898/bredhult-soffa/?variantId=550562-01
"Oslo soffa 3-sits
Steelcut 180-Dark grey",Oslo från Muuto är en modern 3-sitssoffa med fast sittkomfort. Det geometriska och sofistikerade formspråket passar extra bra i det skandinaviska hemmet med sval och avskalad stil.,34 495 kr,https://www.nordicnest.se/assets/blobs/muuto-oslo-soffa-3-sits-steelcut-180-dark-grey/Oslo-3sits-steelcut-180-306d1d9565.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/muuto/oslo-soffa_735237/?variantId=520488-01
"Haga 3 sits soffa
Sevilla Cognac 4003-ljus ek","Haga 3 sits soffa från svenska 1898 är tillverkad med en stomme i massiv bok med sits med nozagspiraler. Sittplymå gjord i kallskum med svep topp, fylld med 50% dun/fjäder och 50% skuren polyester. Ryggplymå fylld med 50% dun/fjäder och 50% silikoniserad bollfiber. Avtagbar klädsel för alla soffor förutom soffor i läder. De inkluderade två sidokuddarna ger extra stöd. Med sin klassiska form och lyxiga komfort blir Haga en naturlig samlingspunkt i vardagsrummet.",31 192 kr,https://www.nordicnest.se/assets/blobs/1898-haga-3-sits-soffa-sevilla-cognac-4003-ljus-ek/2806794_Haga-soffa-calvados-l%C3%A4der-ljusek-7200ab61c9.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/1898/haga-soffa/?variantId=560966-01
"VIOR kökssoffa
Svartlackad ek","VIOR kökssoffa från svenska NJRD är designad av Bernadotte & Kylberg och tillverkad i kvalitativ FSC-märkt ek. VIOR är en hyllning till gemenskap och tradition. Med inspiration i fornnordiska rötter har man tagit fram en pinnsoffa som kombinerar ekens naturliga värme med organiska former för att skapa en plats för meningsfulla samtal och nära stunder vid matbordet. Låt VIOR bli en central del av vardagens möten med nära och kära, där varje linje och kurva bjuder in till livslånga minnen. Utforska NJRDs första möbelkollektion och upplev design som hyllar livet och stunderna vi har tillsammans.",11 696 kr,https://www.nordicnest.se/assets/blobs/njrd-vior-kokssoffa-svartlackad-ek/614521-01_1_ProductImageMain-0fddb87003.png?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/njrd/viro-kokssoffa/?variantId=614521-01
"Haga 3 sits soffa
läder sevilla svart, metallben","Haga 3 sits soffa från svenska 1898 är tillverkad med en stomme i massiv bok med sits med nozagspiraler. Sittplymå gjord i kallskum med svep topp, fylld med 50% dun/fjäder och 50% skuren polyester. Ryggplymå fylld med 50% dun/fjäder och 50% silikoniserad bollfiber. Avtagbar klädsel för alla soffor förutom soffor i läder. De inkluderade två sidokuddarna ger extra stöd. Med sin klassiska form och lyxiga komfort blir Haga en naturlig samlingspunkt i vardagsrummet.",38 990 kr,https://www.nordicnest.se/assets/blobs/1898-haga-3-sits-soffa-lader-sevilla-svart-metallben/Haga-soffa-sevilla-l%C3%A4der-metallben-4be6f82211.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/1898/haga-soffa/?variantId=560970-01
"N701 soffa 2-sits
Tyg beige","N701 soffa 2-sits från Ethnicraft har en inbjudande design som utstrålar komfort och avkoppling. Genom att kombinera de olika modulerna ur N701-serien så kan du skapa din egen unika soffa, anpassad för ditt hem och dina behov.",16 362 kr,https://www.nordicnest.se/assets/blobs/ethnicraft-n701-soffa-2-sits-tyg-beige/20230-Sofa-N701-2-seater-91f1388dea.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/ethnicraft-nv/n701-soffa-2sits/?variantId=521094-01
"Bredhult 3 sits soffa vitoljade ekben
Jump 1956 Beige","Bredhult 3 sits soffa vitoljade ekben från svenska 1898 är en soffa som finns i flera utföranden uppbyggd på trästomme, en sits med nozagfjädring och ekben. Två matchande, vändbara ryggkuddar samt två mindre kuddar medföljer.",27 490 kr,https://www.nordicnest.se/assets/blobs/1898-bredhult-3-sits-soffa-vitoljade-ekben-jump-1956-beige/513245-01_1_ProductImageMain-8aadd2206f.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/1898/bredhult-3-sits-soffa-vitoljade-ekben/?variantId=513245-01
"N701 soffa 3-sits
Läder old saddle",N701 soffa 3-sits från Ethnicraft har en inbjudande design som utstrålar komfort och avkoppling. 3-sitssoffan N701 kan antingen användas som en fristående möbel eller byggas ut med valfria delar ut N701-serien för att skapa en modulsoffa som passar ditt hem och dina behov.,38 046 kr,https://www.nordicnest.se/assets/blobs/ethnicraft-n701-soffa-3-sits-lader-old-saddle/N701-sits-long-leather-f0e7627237.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/ethnicraft-nv/n701-soffa/?variantId=530656-01
"Oslo soffa 2-sits
Steelcut trio 966-Dark grey","Oslo soffa 2-sits från Muuto erbjuder exceptionell komfort och skandinavisk design, formgiven av Anderssen & Voll. Denna del av Oslo-kollektionen har ergonomisk sits klädd i Kvadrat-tyg, vilket ger en lyxig upplevelse. Finns i sex eleganta monokroma nyanser, kan denna soffa enkelt samordnas med andra delar i Oslo-serien och passar perfekt in i både vardagsrum och arbetsmiljöer.",30 495 kr,https://www.nordicnest.se/assets/blobs/muuto-oslo-soffa-2-sits-steelcut-trio-966-dark-grey/Oslo-soffa-2-sits-steelcut-trio-966-gr%C3%A5-ben-5cefddffb3.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/muuto/oslo-soffa/?variantId=529875-01
"Sjövik 3-sits soffa
Bern 0345 green-vitoljad ek","Sjövik 3 sits soffa från svenska 1898 är en soffa uppbyggd på trästomme och sits med nozagfjädring, vilket ger maximal komfort. Soffans tre lösa ryggkuddar gör den dessutom ännu skönare!",20 980 kr,https://www.nordicnest.se/assets/blobs/1898-sjovik-3-sits-soffa-bern-0345-green-vitoljad-ek/Sj%C3%B6vik-3-sits-bern-green-3eff126ea6.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/1898/sjovik-3-sits-soffa/?variantId=536460-01
